Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Event_Window,Event_Earnings_Date
2023-07-12,189.67999267578125,191.6999969482422,188.47000122070312,189.7700042724609,187.14637756347656,60750200,AAPL,0,
2023-07-13,190.5,191.19000244140625,189.77999877929688,190.5399932861328,187.9056701660156,41342300,AAPL,0,
2023-07-14,190.22999572753903,191.17999267578125,189.6300048828125,190.69000244140625,188.0536346435547,41616200,AAPL,0,
2023-07-17,191.8999938964844,194.32000732421875,191.80999755859372,193.9900054931641,191.30799865722656,50520200,AAPL,0,
2023-07-18,193.3500061035156,194.3300018310547,192.4199981689453,193.72999572753903,191.0515899658203,48288200,AAPL,0,
2023-07-19,193.1000061035156,198.22999572753903,192.6499938964844,195.1000061035156,192.40269470214844,80507300,AAPL,0,
2023-07-20,195.08999633789065,196.47000122070312,192.5,193.1300048828125,190.4599151611328,59581200,AAPL,1,2023-08-03
2023-07-21,194.1000061035156,194.97000122070312,191.22999572753903,191.94000244140625,189.28636169433597,71951700,AAPL,1,2023-08-03
2023-07-24,193.41000366210935,194.91000366210935,192.25,192.75,190.08517456054688,45377800,AAPL,1,2023-08-03
2023-07-25,193.3300018310547,194.44000244140625,192.9199981689453,193.6199951171875,190.9431304931641,37283200,AAPL,1,2023-08-03
2023-07-26,193.6699981689453,195.63999938964844,193.32000732421875,194.5,191.8109588623047,47471900,AAPL,1,2023-08-03
2023-07-27,196.0200042724609,197.1999969482422,192.5500030517578,193.22000122070312,190.5486602783203,47460200,AAPL,1,2023-08-03
2023-07-28,194.6699981689453,196.6300048828125,194.13999938964844,195.8300018310547,193.12257385253903,48291400,AAPL,1,2023-08-03
2023-07-31,196.05999755859372,196.4900054931641,195.25999450683597,196.4499969482422,193.73399353027344,38824100,AAPL,1,2023-08-03
2023-08-01,196.2400054931641,196.72999572753903,195.27999877929688,195.6100006103516,192.90562438964844,35175100,AAPL,1,2023-08-03
2023-08-02,195.0399932861328,195.17999267578125,191.8500061035156,192.5800018310547,189.91748046875,50389300,AAPL,1,2023-08-03
2023-08-03,191.57000732421875,192.3699951171875,190.69000244140625,191.1699981689453,188.5270233154297,61235200,AAPL,0,
2023-08-04,185.5200042724609,187.3800048828125,181.9199981689453,181.9900054931641,179.47390747070312,115956800,AAPL,0,
2023-08-07,182.1300048828125,183.1300048828125,177.35000610351562,178.85000610351562,176.3773193359375,97576100,AAPL,0,
2023-08-08,179.69000244140625,180.2700042724609,177.5800018310547,179.8000030517578,177.31419372558594,67823000,AAPL,0,
2023-08-09,180.8699951171875,180.92999267578125,177.00999450683594,178.19000244140625,175.7264404296875,60378500,AAPL,0,
2023-08-10,179.47999572753906,180.75,177.60000610351562,177.97000122070312,175.50950622558594,54686900,AAPL,0,
2023-08-11,177.32000732421875,178.6199951171875,176.5500030517578,177.7899932861328,175.56875610351562,52036700,AAPL,0,
2023-08-14,177.97000122070312,179.69000244140625,177.30999755859375,179.4600067138672,177.21788024902344,43675600,AAPL,0,
2023-08-15,178.8800048828125,179.47999572753906,177.0500030517578,177.4499969482422,175.2329864501953,43622600,AAPL,0,
2023-08-16,177.1300048828125,178.5399932861328,176.5,176.57000732421875,174.36398315429688,46964900,AAPL,0,
2023-08-17,177.13999938964844,177.50999450683594,173.47999572753906,174.0,171.8261260986328,66062900,AAPL,0,
2023-08-18,172.3000030517578,175.10000610351562,171.9600067138672,174.49000549316406,172.3099822998047,61172200,AAPL,0,
2023-08-21,175.07000732421875,176.1300048828125,173.74000549316406,175.83999633789062,173.64309692382812,46311900,AAPL,0,
2023-08-22,177.05999755859375,177.67999267578125,176.25,177.22999572753906,175.0157470703125,42038900,AAPL,0,
2023-08-23,178.52000427246094,181.5500030517578,178.3300018310547,181.1199951171875,178.85714721679688,52722800,AAPL,0,
2023-08-24,180.6699981689453,181.1000061035156,176.00999450683594,176.3800048828125,174.17636108398438,54945800,AAPL,0,
2023-08-25,177.3800048828125,179.14999389648438,175.82000732421875,178.61000061035156,176.37847900390625,51449600,AAPL,0,
2023-08-28,180.08999633789062,180.58999633789065,178.5500030517578,180.19000244140625,177.9387664794922,43820700,AAPL,0,
